nodeId	pmid	pmcid	np	head	base	type	term	coid	section	arg_type
ecd04bee9dceaef7fa4938f22aa7554f	chapter_1	978-1-4987-6285-4	a glycoprotein	glycoprotein	a glycoprotein	product	glycoprotein	COID866322	CHAPTER 1	arg0
93693ceb75f76e4812c310c1bdba7ccc	chapter_1	978-1-4987-6285-4	The glycans attached to a glycoprotein	glycans	The glycans	sugar (subset of carbon source)	glycans	COID626759	CHAPTER 1	arg1
a5e0d84ea0572fbc2fcb951b74e75094	chapter_1	978-1-4987-6285-4	the presence of mannose 6-phosphate on the glycan of a number of lysosomal enzymes	presence	the presence	sugar (subset of carbon source)	glycan	COID626759	CHAPTER 1	arg0
46d774ee1dfba907a2391c8131f82bab	chapter_1	978-1-4987-6285-4	the protein binding to the mannose 6-phosphate receptor on cell plasma membrane for uptake, a step necessary for targeting the enzymes to lysosomes	binding	the protein binding	sugar (subset of carbon source)	mannose	COID906305	CHAPTER 1	arg1
e0e2a67393582b28c29c16fdf0b34b25	chapter_1	978-1-4987-6285-4	The status of molecular folding, glycan composition, and even the composition of minute impurities	status	The status	sugar (subset of carbon source)	glycan	COID626759	CHAPTER 1	arg0
92cfcc4a044c13f8b4fb9ccd7ab2cd15	chapter_1	978-1-4987-6285-4	immunogenicity	immunogenicity	immunogenicity	clinical outcomes	immunogenicity	COID444425	CHAPTER 1	arg1
001e4f2998bbe233e8ac4ff9d2df63c6	chapter_1	978-1-4987-6285-4	the glycan structure	structure	the glycan structure	sugar (subset of carbon source)	glycan structure	COID684992	CHAPTER 1	arg0
583572ca99d0191833b545cd05e0f373	chapter_1	978-1-4987-6285-4	its pharmacokinetic behavior	behavior	its pharmacokinetic behavior	clinical outcomes	pharmacokinetic	COID373370	CHAPTER 1	arg1
fe68a05eafa5bcbbb17e043ebc37d00d	chapter_1	978-1-4987-6285-4	time	time	time	process parameters or process control	time	COID742277	CHAPTER 1	arg0
fa766ae504710314d07589a13690813e	chapter_1	978-1-4987-6285-4	Such quality changes	changes	Such quality changes	product quality attributes	quality	COID109463	CHAPTER 1	arg1
823472fee2d65941a0ad9c1598fe7614	chapter_1	978-1-4987-6285-4	the protein's biological activities	activities	the protein's biological activities	clinical outcomes	biological activities	COID518861	CHAPTER 1	arg1
f4190deb966d342568faba04db63131c	chapter_1	978-1-4987-6285-4	Many production cell lines	lines	Many production cell lines	cell line	cell lines	COID702829	CHAPTER 1	arg0
7a668a4de089641a318485f3f959c66b	chapter_1	978-1-4987-6285-4	multiple copies of the product gene	copies	multiple copies	genotype	gene	COID185502	CHAPTER 1	arg1
7f2d096a5b98c355c149ca391e8539cc	chapter_1	978-1-4987-6285-4	its ability to elicit an immunogenic response	ability	its ability to elicit an immunogenic response	clinical outcomes	immunogenic response	COID740397	CHAPTER 1	arg0
e2a8be676154c310cfe870b837ea072f	chapter_1	978-1-4987-6285-4	the quality of a virus intended for use as a vaccine	quality	the quality	product quality attributes	quality	COID109463	CHAPTER 1	arg1
8455c0032864b5f6e686e29f0baea8ed	chapter_1	978-1-4987-6285-4	The lack of an effective and robust in-line device that can concentrate cells and return them to the bioreactor	lack	The lack	vessel or process parameter or production scale	bioreactor	COID345693	CHAPTER 1	arg0
c2f7056dcdbc2ec0d383027717af2248	chapter_1	978-1-4987-6285-4	the slow adoption of the perfusion process	adoption	the slow adoption	process mode	perfusion	COID329168	CHAPTER 1	arg1
818cfadd3912ffe991f81a1957b7002c	chapter_1	978-1-4987-6285-4	the biological activities of the protein	activities	the biological activities	clinical outcomes	biological activities	COID518861	CHAPTER 1	arg1
8635bad8d21bb162ad19923bca4a3a30	chapter_1	978-1-4987-6285-4	The glycan structure of some proteins	structure	The glycan structure	sugar (subset of carbon source)	glycan structure	COID684992	CHAPTER 1	arg0
062c8c974dffca282d11f185b766fe4d	chapter_1	978-1-4987-6285-4	the protein's therapeutic efficacy (Panel 1.10)	efficacy	the protein's therapeutic efficacy	clinical outcomes	therapeutic efficacy	COID151356	CHAPTER 1	arg1
e280eac065a7a8f2c777ad87b10863ed	chapter_1	978-1-4987-6285-4	its biosynthesis reactions in the Golgi apparatus	reactions	its biosynthesis reactions	biochemical compound	biosynthesis	COID479844	CHAPTER 1	arg0
30f4ffb543c42d755c675f2e8230fec3	chapter_1	978-1-4987-6285-4	This heterogeneity	heterogeneity	This heterogeneity	clinical outcomes	heterogeneity	COID021590	CHAPTER 1	arg1
2e7882ae22a4796d2ed413c20539d36c	chapter_1	978-1-4987-6285-4	then introduced human glycosylation enzymes	enzymes	then introduced human glycosylation enzymes	glycosylation	glycosylation	COID119643	CHAPTER 1	arg0
76487d0604c672e65b1313ac64115817	chapter_1	978-1-4987-6285-4	the synthesis of proteins with humanized glycans	synthesis	the synthesis	sugar (subset of carbon source)	glycans	COID626759	CHAPTER 1	arg1
