doc_id	sent_index	relation_id	relation	trigger	trigger_offset	arg_num	arg_head	arg_head_offset	arg_base_np	arg_base_np_offset	arg_np	arg_np_offset	sent_text
chapter_1	104	0	reg	reduce	13487:13492	arg0	viruses	13383:13389	Live attenuated viruses	13367:13389	Live attenuated viruses used in immunization	13367:13410	Live attenuated viruses used in immunization have been adapted, often by a long serial passaging in a nonhuman host, to reduce their virulence to humans.
chapter_1	104	0	reg	reduce	13487:13492	arg1	virulence	13500:13508	their virulence	13494:13508	their virulence to humans	13494:13518	Live attenuated viruses used in immunization have been adapted, often by a long serial passaging in a nonhuman host, to reduce their virulence to humans.
chapter_1	436	1	inv	affects	58738:58744	arg1	behavior	58766:58773	its pharmacokinetic behavior	58746:58773	its pharmacokinetic behavior	58746:58773	In some cases, the glycan structure does not directly influence the protein's biological activities but affects its pharmacokinetic behavior.
chapter_1	436	1	inv	affects	58738:58744	arg0	structure	58660:58668	the glycan structure	58649:58668	the glycan structure	58649:58668	In some cases, the glycan structure does not directly influence the protein's biological activities but affects its pharmacokinetic behavior.
chapter_1	147	2	reg	suppression	19312:19322	arg0	cells	19355:19359	cancer cells	19348:19359	cancer cells	19348:19359	The binding of an antibody to PD-L1 or PD-1 prevents the suppression of T cell activation by cancer cells, thus allowing the cancer cells to be killed by T cells.
chapter_1	147	2	reg	suppression	19312:19322	arg1	activation	19334:19343	T cell activation	19327:19343	T cell activation	19327:19343	The binding of an antibody to PD-L1 or PD-1 prevents the suppression of T cell activation by cancer cells, thus allowing the cancer cells to be killed by T cells.
chapter_1	19	3	ass	needed	2306:2311	arg0	cells	2323:2327	animal cells	2316:2327	animal cells	2316:2327	While saline and media for microorganisms could be autoclaved for sterilization, the complex nutrients needed by animal cells are destroyed at high temperatures.
chapter_1	19	3	ass	needed	2306:2311	arg1	nutrients	2296:2304	the complex nutrients	2284:2304	the complex nutrients needed by animal cells	2284:2327	While saline and media for microorganisms could be autoclaved for sterilization, the complex nutrients needed by animal cells are destroyed at high temperatures.
chapter_1	147	4	reg	prevents	19299:19306	arg1	suppression	19312:19322	the suppression	19308:19322	the suppression of T cell activation by cancer cells	19308:19359	The binding of an antibody to PD-L1 or PD-1 prevents the suppression of T cell activation by cancer cells, thus allowing the cancer cells to be killed by T cells.
chapter_1	147	4	reg	prevents	19299:19306	arg0	binding	19259:19265	The binding	19255:19265	The binding of an antibody to PD-L1 or PD-1	19255:19297	The binding of an antibody to PD-L1 or PD-1 prevents the suppression of T cell activation by cancer cells, thus allowing the cancer cells to be killed by T cells.
