doc_id	sent_index	relation_id	relation	trigger	trigger_offset	arg_num	arg_head	arg_head_offset	arg_base_np	arg_base_np_offset	arg_np	arg_np_offset	sent_text
chapter4	70	0	ass	produced	9257:9264	arg1	proteins	9248:9255	Impurities Therapeutic proteins	9225:9255	Impurities Therapeutic proteins produced in cell culture	9225:9280	Impurities Therapeutic proteins produced in cell culture undergo extensive purification, virus inactivation, and viral particle clearance before becoming a drug substance for filling.
chapter4	70	0	ass	produced	9257:9264	arg0	culture	9274:9280	cell culture	9269:9280	cell culture	9269:9280	Impurities Therapeutic proteins produced in cell culture undergo extensive purification, virus inactivation, and viral particle clearance before becoming a drug substance for filling.
chapter4	388	1	ass	impact	56150:56155	arg0	variability	56131:56141	variability	56131:56141	variability	56131:56141	A critical process parameter is defined in ICH Q8 as a process parameter whose variability has an impact on a CQA and should therefore be monitored or controlled to ensure that the product has the desired quality (Panel 4.17).
chapter4	388	1	ass	impact	56150:56155	arg1	CQA	56162:56164	a CQA	56160:56164	a CQA	56160:56164	A critical process parameter is defined in ICH Q8 as a process parameter whose variability has an impact on a CQA and should therefore be monitored or controlled to ensure that the product has the desired quality (Panel 4.17).
chapter4	464	2	inv	contribute	67572:67581	arg1	quality	67592:67598	their quality	67586:67598	their quality	67586:67598	Concluding Remarks I n this chapter we discussed the properties of protein products that contribute to their quality.
chapter4	464	2	inv	contribute	67572:67581	arg0	products	67558:67565	protein products	67550:67565	protein products that contribute to their quality	67550:67598	Concluding Remarks I n this chapter we discussed the properties of protein products that contribute to their quality.
chapter4	460	3	reg	accelerate	66962:66971	arg0	This	66945:66948	This	66945:66948	This	66945:66948	This can greatly accelerate the speed at which process robustness adjustments can be implemented in manufacturing.
chapter4	460	3	reg	accelerate	66962:66971	arg1	speed	66977:66981	the speed	66973:66981	the speed at which process robustness adjustments can be implemented in manufacturing	66973:67057	This can greatly accelerate the speed at which process robustness adjustments can be implemented in manufacturing.
chapter4	314	4	reg	impacts	44832:44838	arg1	efficacy	44851:44858	efficacy	44851:44858	efficacy	44851:44858	However, it is the final drug product that directly impacts safety and efficacy in patients, and the final drug product that the QTPP is designed for.
chapter4	314	4	reg	impacts	44832:44838	arg1	safety	44840:44845	safety	44840:44845	safety	44840:44845	However, it is the final drug product that directly impacts safety and efficacy in patients, and the final drug product that the QTPP is designed for.
chapter4	314	4	reg	impacts	44832:44838	arg0	product	44892:44898	the final drug product	44877:44898	the final drug product that the QTPP is designed for	44877:44928	However, it is the final drug product that directly impacts safety and efficacy in patients, and the final drug product that the QTPP is designed for.
chapter4	314	4	reg	impacts	44832:44838	arg0	it	44789:44790	it	44789:44790	it	44789:44790	However, it is the final drug product that directly impacts safety and efficacy in patients, and the final drug product that the QTPP is designed for.
chapter4	314	4	reg	impacts	44832:44838	arg0	product	44810:44816	the final drug product	44795:44816	the final drug product that directly impacts safety and efficacy in patients	44795:44870	However, it is the final drug product that directly impacts safety and efficacy in patients, and the final drug product that the QTPP is designed for.
chapter4	336	5	ass	impact	48721:48726	arg1	CQAs	48732:48735	the CQAs	48728:48735	the CQAs	48728:48735	Risk assessment is then performed to identify the hazards, or process failure modes, that may impact the CQAs.
chapter4	336	5	ass	impact	48721:48726	arg0	hazards	48677:48683	the hazards, or process failure modes	48673:48709	hazards	48677:48683	Risk assessment is then performed to identify the hazards, or process failure modes, that may impact the CQAs.
chapter4	336	5	ass	impact	48721:48726	arg0	modes	48705:48709	the hazards, or process failure modes	48673:48709	modes	48705:48709	Risk assessment is then performed to identify the hazards, or process failure modes, that may impact the CQAs.
chapter4	319	6	reg	due	45561:45563	arg1	that	45553:45556	that	45553:45556	that	45553:45556	For example, a particular type of product variant may arise that is due to exposure to low pH conditions; it thus appears in downstream processing but not in the production bioreactor.
chapter4	319	6	reg	due	45561:45563	arg0	exposure	45568:45575	exposure	45568:45575	exposure to low pH conditions	45568:45596	For example, a particular type of product variant may arise that is due to exposure to low pH conditions; it thus appears in downstream processing but not in the production bioreactor.
chapter4	304	7	ass	shown	43344:43348	arg1	scenario	43224:43231	A hypothetical scenario	43209:43231	A hypothetical scenario using binding assays, bioassays, and PK to understand the impact of variants on the efficacy of the product	43209:43339	A hypothetical scenario using binding assays, bioassays, and PK to understand the impact of variants on the efficacy of the product is shown in Figure 4 .10.
chapter4	304	7	ass	shown	43344:43348	arg0	Figure	43353:43358	Figure 4 .10	43353:43364	Figure 4 .10	43353:43364	A hypothetical scenario using binding assays, bioassays, and PK to understand the impact of variants on the efficacy of the product is shown in Figure 4 .10.
chapter4	84	8	ass	developed	11232:11240	arg1	antiserum	11222:11230	the antiserum	11218:11230	the antiserum developed against the lysate of the host cell culture	11218:11284	A common analytical method relies on immunoassays, like ELISA, using the antiserum developed against the lysate of the host cell culture.
