doc_id	sent_index	relation_id	relation	trigger	trigger_offset	arg_num	arg_head	arg_head_offset	arg_base_np	arg_base_np_offset	arg_np	arg_np_offset	sent_text
6590254	62	0	reg	resulted	10499:10506	arg1	death	10522:10526	early cell death	10511:10526	early cell death	10511:10526	Supplementation with the fucosyltransferase inhibitor Reactive Red 120 was not successful in reducing fucosylation even at high concentrations (500 microM), which instead resulted in early cell death on Day 13 (data not shown).
6590254	62	0	reg	resulted	10499:10506	arg0	microM	10476:10481	500 microM	10472:10481	500 microM	10472:10481	Supplementation with the fucosyltransferase inhibitor Reactive Red 120 was not successful in reducing fucosylation even at high concentrations (500 microM), which instead resulted in early cell death on Day 13 (data not shown).
6590254	62	0	reg	resulted	10499:10506	arg0	concentrations	10456:10469	high concentrations	10451:10469	high concentrations (500 microM)	10451:10482	Supplementation with the fucosyltransferase inhibitor Reactive Red 120 was not successful in reducing fucosylation even at high concentrations (500 microM), which instead resulted in early cell death on Day 13 (data not shown).
6590254	85	1	reg	producing	13975:13983	arg0	line	13970:13973	a CHO DG44 cell line	13954:13973	a CHO DG44 cell line producing mAb2 with higher sialylation levels	13954:14019	Experiments for modulation of antibody sialylation were performed with a CHO DG44 cell line producing mAb2 with higher sialylation levels.
6590254	85	1	reg	producing	13975:13983	arg1	mAb2	13985:13988	mAb2	13985:13988	mAb2	13985:13988	Experiments for modulation of antibody sialylation were performed with a CHO DG44 cell line producing mAb2 with higher sialylation levels.
6590254	64	2	reg	had	10741:10743	arg0	concentrations	10704:10717	Higher concentrations	10697:10717	Higher concentrations of 100 and 250 microM	10697:10739	Higher concentrations of 100 and 250 microM had a detrimental effect on viability and cell growth (data not shown).
6590254	64	2	reg	had	10741:10743	arg1	effect	10759:10764	a detrimental effect	10745:10764	a detrimental effect	10745:10764	Higher concentrations of 100 and 250 microM had a detrimental effect on viability and cell growth (data not shown).
6590254	10	3	ass	required	1783:1790	arg0	development	1818:1828	the development	1814:1828	the development of biosimilars	1814:1843	Further compounds or combinations of additives were also efficient at achieving a smaller overall glycosylation modulation, required, for instance, during the development of biosimilars.
6590254	10	3	ass	required	1783:1790	arg0	instance	1797:1804	instance	1797:1804	instance	1797:1804	Further compounds or combinations of additives were also efficient at achieving a smaller overall glycosylation modulation, required, for instance, during the development of biosimilars.
6590254	10	3	ass	required	1783:1790	arg1	glycosylation	1757:1769	a smaller overall glycosylation modulation	1739:1780	a smaller overall glycosylation modulation	1739:1780	Further compounds or combinations of additives were also efficient at achieving a smaller overall glycosylation modulation, required, for instance, during the development of biosimilars.
6590254	10	3	ass	required	1783:1790	arg1	modulation	1771:1780	a smaller overall glycosylation modulation	1739:1780	a smaller overall glycosylation modulation	1739:1780	Further compounds or combinations of additives were also efficient at achieving a smaller overall glycosylation modulation, required, for instance, during the development of biosimilars.
6590254	22	4	reg	impacted	3811:3818	arg1	profiles	3784:3791	glycosylation profiles	3770:3791	glycosylation profiles	3770:3791	Altogether, these data indicate that glycosylation profiles may or may not be impacted by the cultivation process, depending on the cell line used.
6590254	22	4	reg	impacted	3811:3818	arg0	process	3839:3845	the cultivation process	3823:3845	the cultivation process	3823:3845	Altogether, these data indicate that glycosylation profiles may or may not be impacted by the cultivation process, depending on the cell line used.
6590254	91	5	reg	increase	15006:15013	arg1	sialylation	15015:15025	sialylation	15015:15025	sialylation	15015:15025	Likewise, after the addition of compounds to increase sialylation (750 microM DANA, 50 mM ManNAc, 5 mg/ml fetuin, 0.5 mM CuCl2 on Day 8, and 30 microM dexamethasone), sialylated species were mainly found on the Fab fragment, and a maximum of approximately 2% Fc sialylation was observed (data not shown).
6590254	91	5	reg	increase	15006:15013	arg0	addition	14981:14988	the addition	14977:14988	the addition of compounds to increase sialylation (750 microM DANA, 50 mM ManNAc, 5 mg/ml fetuin, 0.5 mM CuCl2 on Day 8, and 30 microM dexamethasone)	14977:15125	Likewise, after the addition of compounds to increase sialylation (750 microM DANA, 50 mM ManNAc, 5 mg/ml fetuin, 0.5 mM CuCl2 on Day 8, and 30 microM dexamethasone), sialylated species were mainly found on the Fab fragment, and a maximum of approximately 2% Fc sialylation was observed (data not shown).
6590254	33	6	reg	increased	5468:5476	arg0	increase	5532:5539	a predominant increase	5518:5539	a predominant increase in Man5 (24.0%)	5518:5555	Supplementation with 833 mM tagatose increased total mannosylation by 30.3% in ST with a predominant increase in Man5 (24.0%).
6590254	33	6	reg	increased	5468:5476	arg0	Supplementation	5431:5445	Supplementation	5431:5445	Supplementation with 833 mM tagatose	5431:5466	Supplementation with 833 mM tagatose increased total mannosylation by 30.3% in ST with a predominant increase in Man5 (24.0%).
6590254	33	6	reg	increased	5468:5476	arg1	mannosylation	5484:5496	total mannosylation	5478:5496	total mannosylation	5478:5496	Supplementation with 833 mM tagatose increased total mannosylation by 30.3% in ST with a predominant increase in Man5 (24.0%).
6590254	33	6	reg	increased	5468:5476	arg1	Supplementation	5431:5445	Supplementation	5431:5445	Supplementation with 833 mM tagatose	5431:5466	Supplementation with 833 mM tagatose increased total mannosylation by 30.3% in ST with a predominant increase in Man5 (24.0%).
6590254	47	6	ass	produced	7728:7735	arg0	amount	7759:7764	the total amount	7749:7764	the total amount of antibody secreted	7749:7785	To understand possible interactions between factors impacting the final glycosylation profile, the mass fraction of mAb glycoform produced relative to the total amount of antibody secreted was calculated for the growth phase (D0-D7) and the stationary phase (D7-D12) and is presented in Supporting Information Table 4.
6590254	47	6	ass	produced	7728:7735	arg1	glycoform	7718:7726	mAb glycoform	7714:7726	mAb glycoform produced relative to the total amount of antibody secreted	7714:7785	To understand possible interactions between factors impacting the final glycosylation profile, the mass fraction of mAb glycoform produced relative to the total amount of antibody secreted was calculated for the growth phase (D0-D7) and the stationary phase (D7-D12) and is presented in Supporting Information Table 4.
6590254	63	7	reg	decreasing	10583:10592	arg1	fucosylation	10594:10605	fucosylation	10594:10605	fucosylation (3.4%)	10594:10612	MPA was only successful in decreasing fucosylation (3.4%) when added at high concentrations from the beginning of the fed-batch (25 microM).
6590254	63	7	reg	decreasing	10583:10592	arg1	%	10611:10611	3.4%	10608:10611	3.4%	10608:10611	MPA was only successful in decreasing fucosylation (3.4%) when added at high concentrations from the beginning of the fed-batch (25 microM).
6590254	63	7	reg	decreasing	10583:10592	arg0	MPA	10556:10558	MPA	10556:10558	MPA	10556:10558	MPA was only successful in decreasing fucosylation (3.4%) when added at high concentrations from the beginning of the fed-batch (25 microM).
