doc_id	sent_index	relation_id	relation	trigger	trigger_offset	arg_num	arg_head	arg_head_offset	arg_base_np	arg_base_np_offset	arg_np	arg_np_offset	sent_text
11257601	5	0	cmp	greater	938:944	arg1	cells	920:924	NS0 cells	916:924	NS0 cells	916:924	Furthermore, NS0 cells conferred a greater proportion of terminal N-glycolylneuraminic (sialic) acid residues as compared with the N-acetylneuraminic acid variant.
11257601	5	0	cmp	greater	938:944	arg0	proportion	946:955	a greater proportion	936:955	a greater proportion of terminal N-glycolylneuraminic (sialic) acid residues	936:1011	Furthermore, NS0 cells conferred a greater proportion of terminal N-glycolylneuraminic (sialic) acid residues as compared with the N-acetylneuraminic acid variant.
11257601	5	0	cmp	greater	938:944	arg1	variant	1058:1064	the N-acetylneuraminic acid variant	1030:1064	the N-acetylneuraminic acid variant	1030:1064	Furthermore, NS0 cells conferred a greater proportion of terminal N-glycolylneuraminic (sialic) acid residues as compared with the N-acetylneuraminic acid variant.
11257601	5	1	cmp	Furthermore	903:913	arg1	cells	920:924	NS0 cells	916:924	NS0 cells	916:924	Furthermore, NS0 cells conferred a greater proportion of terminal N-glycolylneuraminic (sialic) acid residues as compared with the N-acetylneuraminic acid variant.
11257601	5	1	cmp	Furthermore	903:913	arg0	proportion	946:955	a greater proportion	936:955	a greater proportion of terminal N-glycolylneuraminic (sialic) acid residues	936:1011	Furthermore, NS0 cells conferred a greater proportion of terminal N-glycolylneuraminic (sialic) acid residues as compared with the N-acetylneuraminic acid variant.
11257601	5	1	cmp	Furthermore	903:913	arg1	variant	1058:1064	the N-acetylneuraminic acid variant	1030:1064	the N-acetylneuraminic acid variant	1030:1064	Furthermore, NS0 cells conferred a greater proportion of terminal N-glycolylneuraminic (sialic) acid residues as compared with the N-acetylneuraminic acid variant.
11257601	5	2	ass	conferred	926:934	arg0	variant	1058:1064	the N-acetylneuraminic acid variant	1030:1064	the N-acetylneuraminic acid variant	1030:1064	Furthermore, NS0 cells conferred a greater proportion of terminal N-glycolylneuraminic (sialic) acid residues as compared with the N-acetylneuraminic acid variant.
11257601	5	2	ass	conferred	926:934	arg1	proportion	946:955	a greater proportion	936:955	a greater proportion of terminal N-glycolylneuraminic (sialic) acid residues	936:1011	Furthermore, NS0 cells conferred a greater proportion of terminal N-glycolylneuraminic (sialic) acid residues as compared with the N-acetylneuraminic acid variant.
11753926	7	0	cmp	similar	1112:1118	arg0	pattern	1052:1058	The pattern	1048:1058	The pattern of utilization and production of 18 amino acids	1048:1106	The pattern of utilization and production of 18 amino acids was similar in the Cytopilot culture to that in a stationary batch culture in a T-flask.
11753926	7	0	cmp	similar	1112:1118	arg1	culture	1137:1143	the Cytopilot culture	1123:1143	the Cytopilot culture	1123:1143	The pattern of utilization and production of 18 amino acids was similar in the Cytopilot culture to that in a stationary batch culture in a T-flask.
12950230	6	0	cmp	main	1017:1020	arg0	O-glycans	1022:1030	the main O-glycans	1013:1030	the main O-glycans	1013:1030	Capillary liquid chromatography MS of released oligosaccharides from CHO-K1-produced MUC1 identified the main O-glycans as Galbeta1-3GalNAc (core 1) and mono- and di-sialylated core 1.
12950230	6	0	cmp	main	1017:1020	arg1	Galbeta1-3GalNAc	1035:1050	Galbeta1-3GalNAc	1035:1050	Galbeta1-3GalNAc (core 1)	1035:1059	Capillary liquid chromatography MS of released oligosaccharides from CHO-K1-produced MUC1 identified the main O-glycans as Galbeta1-3GalNAc (core 1) and mono- and di-sialylated core 1.
12950230	6	0	cmp	main	1017:1020	arg1	core	1089:1092	mono- and di-sialylated core 1	1065:1094	mono- and di-sialylated core 1	1065:1094	Capillary liquid chromatography MS of released oligosaccharides from CHO-K1-produced MUC1 identified the main O-glycans as Galbeta1-3GalNAc (core 1) and mono- and di-sialylated core 1.
12950230	6	0	cmp	main	1017:1020	arg1	MS	944:945	Capillary liquid chromatography MS	912:945	Capillary liquid chromatography MS of released oligosaccharides from CHO-K1-produced MUC1	912:1000	Capillary liquid chromatography MS of released oligosaccharides from CHO-K1-produced MUC1 identified the main O-glycans as Galbeta1-3GalNAc (core 1) and mono- and di-sialylated core 1.
