doc_id	sent_index	relation_id	relation	trigger	trigger_offset	arg_num	arg_head	arg_head_offset	arg_base_np	arg_base_np_offset	arg_np	arg_np_offset	sent_text
chapter	76	0	inv	initiated	10115:10123	arg1	attachment	10039:10048	The attachment	10035:10048	The attachment of N-acetylgalactosamine to the -OH group of serine/threonine	10035:10110	The attachment of N-acetylgalactosamine to the -OH group of serine/threonine is initiated by GalNAc-transferases.
chapter	76	0	inv	initiated	10115:10123	arg0	GalNAc-transferases	10128:10146	GalNAc-transferases	10128:10146	GalNAc-transferases	10128:10146	The attachment of N-acetylgalactosamine to the -OH group of serine/threonine is initiated by GalNAc-transferases.
chapter	240	1	reg	have	34094:34097	arg0	they	34089:34092	they	34089:34092	they	34089:34092	Due to the chiral nature of proteins, they have different absorption of left-handed and right-handed circularly polarized light.
chapter	240	1	reg	have	34094:34097	arg1	absorption	34109:34118	different absorption	34099:34118	different absorption of left-handed and right-handed circularly polarized light	34099:34177	Due to the chiral nature of proteins, they have different absorption of left-handed and right-handed circularly polarized light.
chapter	278	2	reg	causes	39654:39659	arg0	presence	39574:39581	the presence	39570:39581	the presence	39570:39581	For example, the presence of sialidases and other glycosidases, likely released from dead cells, causes the trimming of sialic acid or other sugar moieties from the glycan.
chapter	278	2	reg	causes	39654:39659	arg1	trimming	39665:39672	the trimming	39661:39672	the trimming of sialic acid or other sugar moieties from the glycan	39661:39727	For example, the presence of sialidases and other glycosidases, likely released from dead cells, causes the trimming of sialic acid or other sugar moieties from the glycan.
chapter	311	3	ass	based	44746:44750	arg0	chromatography	44770:44783	size-exclusion chromatography	44755:44783	size-exclusion chromatography	44755:44783	Size (or aggregate) variants are those which appear as a large molecular weight peak based on size-exclusion chromatography.
chapter	311	3	ass	based	44746:44750	arg1	peak	44741:44744	a large molecular weight peak	44716:44744	a large molecular weight peak based on size-exclusion chromatography	44716:44783	Size (or aggregate) variants are those which appear as a large molecular weight peak based on size-exclusion chromatography.
chapter	300	4	ass	expressed	42711:42719	arg0	cells	42728:42732	CHO cells	42724:42732	CHO cells	42724:42732	Some expressed proteins in CHO cells are O-glycosylated, but, despite the large repertoire of enzymes involved in O-glycosylation, the number expressed in CHO cells is relatively small and the corresponding O-glycans are less structurally complex.
chapter	300	4	ass	expressed	42711:42719	arg1	number	42704:42709	the number	42700:42709	the number expressed in CHO cells	42700:42732	Some expressed proteins in CHO cells are O-glycosylated, but, despite the large repertoire of enzymes involved in O-glycosylation, the number expressed in CHO cells is relatively small and the corresponding O-glycans are less structurally complex.
chapter	276	5	ass	vary	39372:39375	arg1	clone	39429:39433	even the particular cell clone	39404:39433	even the particular cell clone	39404:39433	For glycoproteins produced in cell culture, the glycan profile may vary with the host cell line or even the particular cell clone used, the cultural conditions, and the cells' metabolic state.
chapter	276	5	ass	vary	39372:39375	arg1	state	39491:39495	the cells' metabolic state	39470:39495	the cells' metabolic state	39470:39495	For glycoproteins produced in cell culture, the glycan profile may vary with the host cell line or even the particular cell clone used, the cultural conditions, and the cells' metabolic state.
chapter	276	5	ass	vary	39372:39375	arg0	profile	39360:39366	the glycan profile	39349:39366	the glycan profile	39349:39366	For glycoproteins produced in cell culture, the glycan profile may vary with the host cell line or even the particular cell clone used, the cultural conditions, and the cells' metabolic state.
chapter	276	5	ass	vary	39372:39375	arg1	line	39396:39399	the host cell line	39382:39399	the host cell line	39382:39399	For glycoproteins produced in cell culture, the glycan profile may vary with the host cell line or even the particular cell clone used, the cultural conditions, and the cells' metabolic state.
